    PID TTY          TIME CMD
  43937 ?        00:03:40 nautilus
  44760 pts/12   00:00:00 bash
  44783 ?        00:00:36 code
  49847 pts/3    00:00:00 bash
  49873 pts/5    00:00:00 bash
  49892 pts/7    00:00:00 bash
  51527 pts/3    01:01:59 mkdocs
  59212 pts/11   00:00:00 bash
  59229 ?        00:01:55 code
  61376 ?        00:00:00 mount.ntfs
  74430 pts/9    00:00:00 bash
  75899 ?        00:00:00 kworker/18:1-rcu_gp
  77030 ?        00:00:00 cupsd
  77063 ?        00:00:00 cups-browsed
  77068 ?        00:00:00 dbus
  77069 ?        00:00:00 dbus
  78815 ?        00:00:32 kworker/u41:1-i915_flip
  78866 ?        00:00:31 kworker/u41:4-i915_flip
  78967 ?        00:00:28 kworker/u41:3-i915_flip
  80337 ?        00:00:05 code
  81310 ?        00:00:00 kworker/9:0-inet_frag_wq
  82642 ?        00:00:00 kworker/18:2-events
  83922 ?        00:00:00 kworker/3:1-mm_percpu_wq
  83927 ?        00:00:00 kworker/17:1-events
  83974 ?        00:00:00 kworker/15:0-events
  83975 ?        00:00:00 kworker/16:2-rcu_par_gp
  84256 ?        00:00:00 kworker/7:2-events
  87239 ?        00:00:00 kworker/2:2-mm_percpu_wq
  87240 ?        00:00:00 kworker/11:0-mm_percpu_wq
  87606 ?        00:00:00 kworker/14:2-rcu_par_gp
  88170 ?        00:00:00 kworker/13:0-events
  88179 ?        00:00:00 kworker/9:1-events
  88230 ?        00:00:00 kworker/8:0-events
  88857 ?        00:00:10 kworker/u41:0-i915_flip
  88914 ?        00:00:00 kworker/5:0-mm_percpu_wq
  88915 ?        00:00:00 kworker/0:0-events
  88978 ?        00:00:00 kworker/6:0-events
  88980 ?        00:00:00 kworker/1:3-mm_percpu_wq
  89165 ?        00:00:00 kworker/13:1-events
  89234 ?        00:00:00 kworker/8:2-rcu_par_gp
  89619 ?        00:00:00 kworker/11:1-i915-unordered
  91443 ?        00:00:00 kworker/12:0-events
  91598 ?        00:00:00 kworker/3:2
  91599 ?        00:00:04 konsole
  91627 pts/2    00:00:00 bash
  91760 ?        00:00:00 kworker/16:1-mm_percpu_wq
  91761 ?        00:00:00 kworker/14:0-mm_percpu_wq
  91806 ?        00:00:00 konsole <defunct>
  91948 ?        00:00:58 code
  91965 ?        00:00:02 code
  91979 ?        00:00:03 code
  92080 ?        00:00:00 kworker/4:2-events
  92137 ?        00:00:00 kworker/10:1-events
  92996 ?        00:00:00 konsole
  93024 pts/6    00:00:00 bash
  93041 ?        00:00:00 kworker/15:2-events
  93042 ?        00:00:00 kworker/6:2-events
  93043 ?        00:00:00 kworker/1:0-events
  93631 ?        00:00:00 kworker/10:2-events
  93953 ?        00:00:00 kworker/17:2-events
  93954 ?        00:00:00 kworker/0:1-events
  94790 ?        00:00:01 kworker/7:0-events
  94862 ?        00:00:00 kworker/12:2-events
  95710 ?        00:00:00 kworker/5:2
  96105 ?        00:00:47 msedge
  96111 ?        00:00:00 cat
  96112 ?        00:00:00 cat
  96122 ?        00:00:00 msedge
  96123 ?        00:00:00 msedge
  96125 ?        00:00:00 msedge
  96153 ?        00:00:36 msedge
  96154 ?        00:00:09 msedge
  96164 ?        00:00:00 msedge
  96201 ?        00:00:10 msedge
  96211 ?        00:00:01 msedge
  96218 ?        00:00:01 msedge
  96267 ?        00:00:00 msedge
  96277 ?        00:00:00 msedge
  96286 ?        00:00:01 msedge
  96295 ?        00:00:02 msedge
  96306 ?        00:00:00 msedge
  96315 ?        00:00:00 msedge
  96325 ?        00:00:00 msedge
  96336 ?        00:00:00 msedge
  96345 ?        00:00:02 msedge
  96438 ?        00:00:00 msedge
  96736 ?        00:00:01 msedge
  96761 ?        00:00:01 msedge
  96771 ?        00:00:15 msedge
